"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","735","TC-CART-005 Random Item title checking","","Sat May 23 22:21:00 UTC 2026","passed","Sat May 23 22:21:01 UTC 2026","Cart test cases","cart.spec.ts","",""
"","922","TC-CART-001 Add item to cart","","Sat May 23 22:20:56 UTC 2026","passed","Sat May 23 22:20:57 UTC 2026","Cart test cases","cart.spec.ts","",""
"","1834","TC-LOGIN-006 Logout","","Sat May 23 22:21:04 UTC 2026","passed","Sat May 23 22:21:06 UTC 2026","Login","login.spec.ts","",""
"","617","TC-LOGIN-001 Login with valid credentials","","Sat May 23 22:21:02 UTC 2026","passed","Sat May 23 22:21:02 UTC 2026","Login","login.spec.ts","",""
"","455","TC-LOGIN-004 Login with blank user","","Sat May 23 22:21:03 UTC 2026","passed","Sat May 23 22:21:03 UTC 2026","Login","login.spec.ts","",""
"","816","TC-CHKOUT-001 Checkout process","","Sat May 23 22:21:01 UTC 2026","passed","Sat May 23 22:21:02 UTC 2026","Checkout","checkout.spec.ts","",""
"","534","TC-LOGIN-002 & TC-LOGIN-003 Login with invalid credentials","","Sat May 23 22:21:02 UTC 2026","passed","Sat May 23 22:21:03 UTC 2026","Login","login.spec.ts","",""
"","606","TC-LOGIN-005 Login with blocked user","","Sat May 23 22:21:04 UTC 2026","passed","Sat May 23 22:21:04 UTC 2026","Login","login.spec.ts","",""
"","475","TC-LOGIN-004.1 Login with blank password","","Sat May 23 22:21:03 UTC 2026","passed","Sat May 23 22:21:04 UTC 2026","Login","login.spec.ts","",""
"","706","TC-CART-002 Remove item from cart","","Sat May 23 22:20:57 UTC 2026","passed","Sat May 23 22:20:58 UTC 2026","Cart test cases","cart.spec.ts","",""
"","896","TC-CART-003 Add all items to cart at once","","Sat May 23 22:20:58 UTC 2026","passed","Sat May 23 22:20:59 UTC 2026","Cart test cases","cart.spec.ts","",""
"","1347","TC-CART-004 Add all items to cart by each one","","Sat May 23 22:20:59 UTC 2026","passed","Sat May 23 22:21:00 UTC 2026","Cart test cases","cart.spec.ts","",""
